
Trackpoint	58 58.172 5 50.112	03/08/2011 14:39:11 	0 m			36 m	0:00:03	44 kph	95° true
Trackpoint	58 58.170 5 50.148	03/08/2011 14:39:14 	0 m			35 m	0:00:03	42 kph	96° true
Trackpoint	58 58.169 5 50.186	03/08/2011 14:39:17 	0 m			36 m	0:00:03	43 kph	95° true
Trackpoint	58 58.168 5 50.223	03/08/2011 14:39:20 	0 m			36 m	0:00:03	43 kph	93° true
Trackpoint	58 58.167 5 50.261	03/08/2011 14:39:23 	0 m			36 m	0:00:03	43 kph	93° true
Trackpoint	58 58.166 5 50.285	03/08/2011 14:39:25 	0 m			24 m	0:00:02	43 kph	93° true
Trackpoint	58 58.165 5 50.322	03/08/2011 14:39:28 	0 m			36 m	0:00:03	43 kph	93° true
Trackpoint	58 58.164 5 50.348	03/08/2011 14:39:30 	0 m			25 m	0:00:02	44 kph	94° true
Trackpoint	58 58.163 5 50.386	03/08/2011 14:39:33 	0 m			36 m	0:00:03	43 kph	94° true
Trackpoint	58 58.161 5 50.422	03/08/2011 14:39:36 	0 m			35 m	0:00:03	42 kph	94° true
Trackpoint	58 58.160 5 50.447	03/08/2011 14:39:38 	0 m			24 m	0:00:02	43 kph	93° true
Trackpoint	58 58.159 5 50.484	03/08/2011 14:39:41 	0 m			35 m	0:00:03	42 kph	94° true
Trackpoint	58 58.158 5 50.521	03/08/2011 14:39:44 	0 m			36 m	0:00:03	43 kph	95° true
Trackpoint	58 58.157 5 50.546	03/08/2011 14:39:46 	0 m			24 m	0:00:02	43 kph	94° true
Trackpoint	58 58.155 5 50.584	03/08/2011 14:39:49 	0 m			36 m	0:00:03	43 kph	94° true
Trackpoint	58 58.154 5 50.622	03/08/2011 14:39:52 	0 m			36 m	0:00:03	43 kph	92° true
Trackpoint	58 58.154 5 50.659	03/08/2011 14:39:55 	0 m			35 m	0:00:03	42 kph	92° true
Trackpoint	58 58.152 5 50.695	03/08/2011 14:39:58 	0 m			35 m	0:00:03	42 kph	94° true
Trackpoint	58 58.151 5 50.733	03/08/2011 14:40:01 	0 m			36 m	0:00:03	43 kph	94° true
Trackpoint	58 58.150 5 50.758	03/08/2011 14:40:03 	0 m			24 m	0:00:02	44 kph	93° true
Trackpoint	58 58.150 5 50.784	03/08/2011 14:40:05 	0 m			25 m	0:00:02	44 kph	92° true
Trackpoint	58 58.149 5 50.821	03/08/2011 14:40:08 	0 m			36 m	0:00:03	43 kph	92° true
Trackpoint	58 58.148 5 50.858	03/08/2011 14:40:11 	0 m			36 m	0:00:03	43 kph	94° true
Trackpoint	58 58.147 5 50.883	03/08/2011 14:40:13 	0 m			24 m	0:00:02	42 kph	94° true
Trackpoint	58 58.146 5 50.920	03/08/2011 14:40:16 	0 m			36 m	0:00:03	43 kph	93° true
Trackpoint	58 58.145 5 50.957	03/08/2011 14:40:19 	0 m			35 m	0:00:03	42 kph	93° true
